Species,Presence_Count
Acrocarpus_fraxinifolius,10
Acronychia_pedunculata,26
Actephila_excelsa,7
Actinodaphne_bourdillonii,39
Actinodaphne_gullavara,27
Actinodaphne_lanceolata,22
Actinodaphne_salicina,7
Actinodaphne_tadulingamii,19
Actinodaphne_wightiana,51
Agasthiyamalai_pauciflora,6
Aglaia_bourdillonii,10
Aglaia_canarana,37
Aglaia_edulis,67
Aglaia_elaeagnoidea,115
Aglaia_lawii,48
Aglaia_perviridis,29
Aglaia_simplicifolia,66
Aglaia_tomentosa,4
Agrostistachys_borneensis,32
Agrostistachys_indica,27
Aidia_densiflora,8
Ailanthus_triphysa,5
Allophylus_cobbe,25
Alseodaphne_semecarpifolia,29
Alstonia_scholaris,35
Anacolosa_densiflora,26
Ancistrocladus_heyneanus,8
Antiaris_toxicaria,20
Antidesma_montanum,66
Aphanamixis_polystachya,37
Aphananthe_cuspidata,11
Apodytes_dimidiata,12
Aporosa_acuminata,23
Aporosa_bourdillonii,7
Aporosa_cardiosperma,78
Archidendron_bigeminum,28
Ardisia_missionis,10
Ardisia_pauciflora,40
Ardisia_rhomboidea,20
Ardisia_solanacea,18
Ardisia_stonei,13
Arenga_wightii,21
Artocarpus_gomezianus,24
Artocarpus_heterophyllus,72
Artocarpus_hirsutus,82
Atalantia_racemosa,27
Atalantia_wightii,56
Atuna_indica,8
Atuna_travancorica,10
Baccaurea_courtallensis,94
Beddomea_indica,7
Beilschmiedia_dalzellii,90
Beilschmiedia_wightii,27
Bhesa_indica,6
Bischofia_javanica,31
Blachia_calycina,3
Blachia_denudata,23
Blepharistemma_serratum,18
Bombax_ceiba,28
Bridelia_stipularis,16
Callicarpa_tomentosa,62
Calophyllum_apetalum,29
Calophyllum_austroindicum,13
Calophyllum_tomentosum,83
Canarium_strictum,51
Canthium_rheedei,14
Capparis_baducca,15
Capparis_rotundifolia,3
Carallia_brachiata,28
Carissa_carandas,46
Carissa_spinarum,5
Caryota_urens,70
Casearia_ovata,91
Casearia_rubescens,22
Casearia_wynadensis,57
Cassine_paniculata,6
Celtis_philippensis,22
Celtis_timorensis,6
Chassalia_curviflora,4
Chionanthus_courtallensis,14
Chionanthus_mala-elengi,6
Chionanthus_ramiflorus,25
Chrysophyllum_flexuosum,12
Chukrasia_tabularis,9
Cinnamomum_cassia,3
Cinnamomum_filipedicellatum,19
Cinnamomum_keralaense,6
Cinnamomum_macrocarpum,7
Cinnamomum_malabatrum,162
Cinnamomum_sulphuratum,9
Cinnamomum_verum,34
Clausena_anisata,16
Clausena_austroindica,7
Clausena_indica,23
Cleidion_javanicum,13
Cleistanthus_malabaricus,7
Cleistanthus_travancorensis,13
Clerodendrum_infortunatum,22
Coffea_wightiana,3
Connarus_wightii,8
Croton_gibsonianus,4
Croton_laccifer,3
Croton_malabaricus,75
Croton_zeylanicus,18
Cryptocarya_anamalayana,37
Cryptocarya_beddomei,28
Cryptocarya_lawsonii,171
Cryptocarya_stocksii,13
Cryptocarya_wightiana,33
Cyathocalyx_zeylanicus,31
Cynometra_travancorica,8
Daphniphyllum_neilgherrense,4
Dendrocnide_sinuata,39
Dichapetalum_gelonioides,90
Dillenia_bracteata,27
Dimocarpus_longan,176
Dimorphocalyx_beddomei,46
Dimorphocalyx_glabellus,24
Diospyros_barberi,7
Diospyros_bourdillonii,35
Diospyros_buxifolia,40
Diospyros_candolleana,128
Diospyros_crumenata,10
Diospyros_ebenum,32
Diospyros_ferrea,34
Diospyros_ghatensis,52
Diospyros_insignis,3
Diospyros_kedam,8
Diospyros_malabarica,8
Diospyros_montana,83
Diospyros_nilagirica,12
Diospyros_oocarpa,53
Diospyros_paniculata,79
Diospyros_pruriens,20
Diospyros_ridleyi,7
Diospyros_saldanhae,46
Diospyros_sylvatica,117
Diploclisia_glaucescens,15
Dipterocarpus_bourdillonii,15
Dipterocarpus_indicus,78
Discospermum_apiocarpum,5
Discospermum_sphaerocarpum,28
Donella_lanceolata,32
Dracaena_elliptica,5
Drypetes_confertiflora,34
Drypetes_malabarica,26
Drypetes_oblongifolia,48
Drypetes_venusta,96
Drypetes_wightii,24
Durio_exarillatus,79
Dysoxylum_gotadhora,39
Dysoxylum_malabaricum,78
Ehretia_aspera,5
Elaeagnus_conferta,11
Elaeocarpus_munroii,15
Elaeocarpus_serratus,35
Elaeocarpus_tuberculatus,40
Elaeocarpus_variabilis,8
Elaeocarpus_venustus,6
Elaeodendron_paniculatum,4
Embelia_drupacea,3
Entada_rheedei,5
Epiprinus_mallotiformis,33
Erythroxylum_moonii,17
Eugenia_codyensis,9
Eugenia_kalamii,26
Eugenia_macrocalyx,30
Eugenia_mooniana,48
Eugenia_singampattiana,3
Euonymus_angulatus,11
Euonymus_dichotomus,9
Euonymus_indicus,41
Eurya_nitida,8
Excoecaria_oppositifolia,15
Falconeria_insignis,12
Ficus_beddomei,16
Ficus_callosa,18
Ficus_exasperata,8
Ficus_hispida,23
Ficus_microcarpa,10
Ficus_nervosa,80
Ficus_racemosa,18
Ficus_talbotii,5
Ficus_tsjakela,11
Ficus_virens,16
Filicium_decipiens,7
Flacourtia_montana,125
Garcinia_gummi-gutta,106
Garcinia_indica,50
Garcinia_morella,95
Garcinia_rubroechinata,8
Garcinia_spicata,6
Garcinia_talbotii,104
Glochidion_UM,3
Glochidion_ellipticum,98
Glochidion_heyneanum,9
Glochidion_hohenackeri,6
Glochidion_zeylanicum,5
Gluta_travancorica,26
Glycosmis_macrocarpa,38
Glycosmis_pentaphylla,58
Gnetum_edule,20
Gomphandra_coriacea,44
Gomphandra_tetrandra,58
Goniothalamus_cardiopetalus,25
Goniothalamus_rhynchantherus,6
Goniothalamus_thwaitesii,4
Goniothalamus_wightii,10
Gordonia_obtusa,21
Grewia_serrulata,7
Gymnacranthera_canarica,11
Harpullia_arborea,17
Helicia_nilagirica,5
Heptapleurum_ellipticum,5
Heritiera_papilio,47
Heynea_trijuga,24
Holigarna_arnottiana,115
Holigarna_beddomei,4
Holigarna_ferruginea,31
Holigarna_grahamii,143
Holigarna_nigra,65
Homalium_ceylanicum,24
Hopea_canarensis,22
Hopea_erosa,6
Hopea_glabra,11
Hopea_parviflora,54
Hopea_ponga,56
Hopea_racophloea,10
Humboldtia_brunonis,30
Humboldtia_decurrens,8
Humboldtia_vahliana,6
Hunteria_zeylanica,18
Hydnocarpus_alpina,36
Hydnocarpus_macrocarpa,5
Hydnocarpus_pentandrus,121
Isonandra_lanceolata,70
Ixora_alba,6
Ixora_brachiata,186
Ixora_elongata,35
Ixora_lanceolaria,6
Ixora_nigricans,65
Ixora_pavetta,5
Jasminum_malabaricum,5
Kingiodendron_pinnatum,31
Knema_attenuata,227
Lagerstroemia_microcarpa,91
Lasianthus_acuminatus,19
Lasianthus_jackianus,23
Lasianthus_oblongifolius,3
Lasianthus_parvifolius,3
Lasianthus_rostratus,5
Lasiosiphon_glaucus,18
Leea_indica,108
Lepisanthes_erecta,10
Lepisanthes_tetraphylla,89
Leptonychia_caudata,17
Ligustrum_robustum,15
Litsea_UM,3
Litsea_floribunda,107
Litsea_ghatica,11
Litsea_glabrata,17
Litsea_keralana,31
Litsea_laevigata,86
Litsea_mysorensis,48
Litsea_oleoides,70
Litsea_stocksii,39
Litsea_travancorica,14
Litsea_udayanii,4
Litsea_venulosa,9
Litsea_wightiana,15
Lophopetalum_wightianum,41
Luvunga_sarmentosa,6
Macaranga_indica,13
Macaranga_peltata,128
Machilus_glaucescens,5
Madhuca_bourdillonii,9
Madhuca_neriifolia,11
Maesa_indica,11
Magnolia_nilagirica,8
Mallotus_distans,6
Mallotus_nudiflorus,10
Mallotus_philippensis,107
Mallotus_resinosus,74
Mallotus_rhamnifolius,10
Mallotus_tetracoccus,3
Mammea_suriga,18
Mangifera_indica,153
Mappia_nimmoniana,9
Margaritaria_indica,15
Mastixia_arborea,78
Maytenus_rothiana,27
Meiogyne_pannosa,94
Meiogyne_ramarowii,79
Melicope_lunu-ankenda,38
Meliosma_pinnata,6
Memecylon_gracile,26
Memecylon_heyneanum,47
Memecylon_malabaricum,13
Memecylon_pseudogracile,14
Memecylon_randerianum,18
Memecylon_subsessile,10
Memecylon_talbotianum,57
Memecylon_terminale,11
Memecylon_umbellatum,117
Memecylon_wightii,48
Mesua_ferrea,84
Meteoromyrtus_wynaadensis,8
Meyna_laxiflora,33
Microcos_paniculata,19
Microtropis_latifolia,68
Miliusa_gokhalaei,17
Miliusa_nilagirica,9
Mimusops_elengi,74
Mitragyna_parvifolia,10
Mitragyna_tubulosa,5
Mitrephora_grandiflora,12
Moullava_spicata,19
Murraya_koenigii,18
Murraya_paniculata,16
Myristica_beddomei,4
Myristica_dactyloides,227
Myristica_malabarica,70
Neolitsea_fischeri,13
Neolitsea_scrobiculata,4
Neolitsea_zeylanica,17
Nothapodytes_nimmoniana,48
Nothopegia_aureofulva,10
Nothopegia_beddomei,130
Nothopegia_castaneifolia,33
Nothopegia_racemosa,117
Nothopegia_travancorica,42
Ocotea_lancifolia,36
Octotropis_travancorica,8
Olea_dioica,152
Oreocnide_integrifolia,16
Ormosia_travancorica,20
Orophea_erythrocarpa,20
Orophea_sivarajanii,9
Orophea_thomsonii,33
Orophea_zeylanica,8
Otonephelium_stipulaceum,82
Oxyceros_rugulosus,12
Pajanelia_longifolia,9
Palaquium_bourdillonii,9
Palaquium_ellipticum,171
Pandanus_furcatus,27
Paracroton_pendulus_subsp._zeylanicus,85
Paramignya_monophylla,19
Pavetta_indica,3
Pavetta_sp,10
Persea_macrantha,158
Pinanga_dicksonii,25
Poeciloneuron_indicum,56
Polyalthia_coffeoides,39
Polyalthia_fragrans,112
Polyalthia_malabarica,26
Prismatomeris_tetrandra,13
Prunus_ceylanica,35
Psychotria_anamallayana,19
Psychotria_dalzellii,40
